10000 20000
173 1318 74247432 
173 9541 69972917 
173 3958 82514718 
174 5834 99069348 
174 1580 81672775 
174 1112 67924620 
174 2893 62959226 
174 1358 2592526 
174 5245 26305470 
175 3560 7951879 
175 5134 64637334 
175 9148 65038996 
176 5911 16229021 
176 6014 72306169 
177 2326 27399439 
177 6406 56182849 
177 4140 40798471 
178 8567 58827213 
178 321 21883695 
179 7130 75168181 
179 9005 44761054 
179 5330 31265566 
181 4227 81188214 
181 631 67873210 
182 904 23550677 
182 865 87819809 
182 8160 85817706 
182 1866 34257966 
183 6727 4325421 
183 1995 24473084 
183 7520 76333763 
185 9521 27668809 
185 5889 93910477 
185 9146 80824590 
186 1937 43402548 
186 5065 62786006 
186 9006 25393646 
186 344 24313078 
186 8548 15260476 
186 7016 43554173 
187 5655 822280 
187 3835 91371947 
187 710 77621222 
187 9590 26034039 
187 2957 63944939 
187 6538 52436914 
188 5817 92418605 
188 5941 91201630 
188 3161 13072723 
188 3142 78076881 
189 2434 7200736 
189 7502 18878309 
189 3396 52118448 
189 3661 74419137 
189 4244 79925437 
189 2032 44851614 
190 3728 35491839 
191 4494 31584764 
191 8471 85306675 
191 9966 44012966 
191 9622 19157630 
191 7020 20162689 
192 1472 51008888 
192 3959 83276900 
193 6252 86990926 
193 5138 43682389 
193 4430 28532051 
193 4867 678218 
193 8710 79354859 
194 2907 58455037 
194 499 59670451 
194 4604 64084037 
195 8848 96784048 
195 6246 75501851 
195 3456 17072828 
195 209 66119807 
196 9406 79609589 
196 6528 66939397 
196 5135 8282753 
196 4747 54968605 
196 9352 77448443 
196 6013 46671643 
197 9902 80070007 
197 5358 70323061 
198 201 4104145 
198 2177 30581622 
199 5760 17933775 
199 4557 79538102 
199 1416 62990582 
199 5958 19561796 
199 4639 96003568 
200 1785 2268137 
200 3429 94940979 
200 8213 82807533 
200 5293 8908375 
201 4955 48488994 
201 1566 93671668 
202 9716 33909789 
202 207 56417113 
202 9625 71764977 
202 5930 72132792 
203 3648 86332782 
203 9035 27340574 
203 8767 99929421 
203 4852 16500147 
203 7653 51562613 
204 1086 97501907 
204 2121 47991661 
204 7760 2785566 
204 3041 90708707 
205 5975 14919140 
205 319 577552 
205 8932 95569829 
205 2343 82357919 
206 6391 27882406 
206 2231 95067349 
207 7182 24539089 
207 7005 74530284 
207 9634 95618062 
207 8193 23280131 
207 2517 95531344 
207 8160 6830003 
207 7443 8375028 
207 468 28652478 
207 1942 54933308 
208 9211 99824904 
209 7515 79780778 
209 6893 88358191 
209 1655 91288145 
209 8132 30855224 
209 3003 1337844 
209 9942 67392340 
210 1045 54223139 
210 3668 95116424 
210 6466 61027786 
211 1723 85790507 
211 6622 31028142 
212 7127 69046784 
212 3964 47806534 
212 4438 6348408 
212 3009 40486899 
212 6412 71495510 
213 3179 67690518 
213 9753 89690942 
213 3754 77290430 
213 1817 12585270 
213 8768 21885337 
213 4761 97458855 
213 2591 96933029 
213 3587 18169455 
213 6313 54120972 
214 9654 8768889 
214 8483 20301243 
215 2782 30101798 
215 2294 39804173 
216 2086 80546533 
216 9165 35610572 
216 3794 37754879 
216 5313 93489275 
217 1200 35021082 
218 2045 41561095 
219 826 32022605 
219 1244 46870721 
219 8136 64493559 
219 5883 80739895 
220 6662 12588938 
220 6731 86743870 
220 1668 701436 
220 9310 80503580 
220 3437 53709604 
221 959 95150941 
222 8320 11553646 
222 5834 73558070 
222 6168 69669987 
222 2399 51225080 
223 4887 92709947 
223 9811 22243641 
223 8258 55745926 
224 5503 53335355 
224 260 11142824 
224 4982 71593161 
224 4126 9165590 
225 3910 72449319 
225 3329 75067649 
225 9715 78306330 
225 6762 94331334 
225 8709 14881800 
226 8373 10415872 
226 8836 32085307 
226 2621 22538526 
226 1552 95157175 
226 8931 60171732 
227 8084 33075482 
227 8286 8398637 
227 7201 36386636 
227 4864 90112793 
228 5009 85889617 
228 1836 29645318 
228 1512 52653602 
229 523 89466778 
229 2075 35240497 
229 2091 66381358 
229 9113 68398752 
230 2590 43746121 
230 6529 87039000 
230 4603 23136937 
231 8785 54250558 
231 3709 23061603 
231 3409 91134871 
232 8560 16612390 
232 2607 94598752 
232 8196 54572266 
232 8618 57745458 
233 7422 33810014 
233 4349 23004834 
233 3411 96604220 
234 4607 51593465 
234 6707 4907972 
234 5892 76428927 
234 2133 36805081 
234 2269 79448870 
234 3863 55598291 
235 5695 32407166 
235 9156 13902172 
236 6954 91470688 
236 6402 41448701 
236 6111 86350895 
236 1863 3161864 
237 7064 6215658 
237 1484 51461466 
237 9606 63608767 
237 2144 77721439 
237 5597 6041337 
237 5019 56438646 
237 1393 61131427 
237 2393 74357037 
238 3018 48642909 
238 4523 5487116 
238 8717 715934 
238 7678 87875078 
238 5600 1507042 
238 848 57013028 
239 5828 63719348 
239 8169 49083021 
239 5151 65015725 
239 6896 42135426 
239 3205 47018559 
239 9682 89106522 
239 9178 80174797 
240 1026 19123941 
241 9071 54603565 
241 9157 78644829 
242 4272 97816746 
242 2445 49523102 
243 8810 65221479 
243 831 90525732 
243 1394 18144584 
244 6654 95835701 
244 3697 18781365 
244 4605 75533866 
244 1074 96446282 
244 5276 38964647 
244 5293 91317337 
245 1385 8403353 
245 1905 77407535 
245 7402 21252514 
245 413 40404365 
245 3892 21480629 
245 4136 71292142 
245 9045 33011740 
245 3049 69363257 
246 4828 1780311 
247 8389 51257304 
247 2058 39705510 
248 5038 29367235 
248 9889 82202524 
248 8958 66218461 
248 4770 51815 
249 3859 90524179 
249 3843 60762174 
249 5485 72906316 
249 9526 3778007 
249 8617 23131264 
249 3593 53728137 
249 6398 46052265 
250 4773 72692355 
250 9752 47513017 
250 2737 86107932 
250 8343 61180209 
250 5336 205938 
250 2003 62241437 
250 2020 66700255 
250 3694 92794947 
251 8241 32965579 
251 9638 87243737 
251 9214 1342069 
251 4430 50332742 
252 1276 16362952 
252 7925 9864409 
252 1054 64682167 
252 1801 96548862 
252 6045 65858309 
252 4959 22806462 
252 3961 42709873 
253 361 47784132 
253 3155 48596353 
253 3106 21397319 
254 9063 8390907 
254 9710 64462939 
254 972 13148300 
254 1935 98526069 
254 6399 74369042 
254 9717 73664393 
255 6451 5270977 
255 6726 66188274 
255 6130 10854777 
256 4165 38503475 
256 4959 4797233 
257 6216 40476283 
257 4040 65499512 
257 6797 39211859 
257 7929 14689994 
257 2533 50695469 
257 522 83905195 
257 1323 50375062 
258 5911 50362372 
258 7262 58018638 
258 1177 32855575 
258 2545 93784672 
259 2286 68824138 
259 7981 51543002 
260 2567 11575045 
260 4856 69900923 
260 6974 15371191 
260 6840 39222599 
260 2449 75740471 
260 2742 25464929 
260 6590 85046260 
260 1134 89518234 
261 2923 78346611 
261 1775 95211443 
261 3245 3484128 
261 974 37171064 
261 7944 62449817 
262 2688 90522303 
262 5828 67269189 
263 2815 45573058 
263 3354 2045653 
263 5418 48888472 
264 7228 23624147 
264 5136 1146589 
264 3480 9837386 
264 3762 13795557 
265 1187 27606832 
265 9109 7263112 
265 3304 51015050 
266 2715 15177810 
266 9029 10369101 
266 2608 72020054 
266 2476 17001245 
267 3798 23846712 
267 9632 33579045 
267 683 4350946 
267 1254 92430653 
267 3868 41006751 
267 2512 72742988 
267 1907 10304351 
267 9360 17031967 
268 9646 66562019 
268 3989 79568782 
268 8526 44506372 
268 3967 65601888 
268 381 58905461 
269 1252 3248063 
269 2588 84269439 
269 6516 31258226 
269 3934 10934493 
269 7509 89637603 
269 8616 68185920 
269 7712 58756304 
270 914 41466272 
270 8611 35451051 
270 9362 64588360 
270 3574 12410802 
271 7899 74219288 
271 5073 66045068 
271 2644 3892132 
271 9083 13758814 
271 9338 75932657 
272 6216 65182656 
272 8464 17514254 
272 6555 47644960 
272 1991 8603670 
272 9226 14933715 
273 9124 14725611 
273 6786 28675442 
273 2833 51764081 
274 5694 51341888 
274 9942 19910634 
274 6789 90381050 
275 1614 21245004 
275 7608 70606967 
275 9934 46577795 
275 2449 94214085 
276 7977 35553601 
276 3375 99401515 
276 4243 38720142 
276 7864 5846025 
276 2073 86956713 
276 4601 14318839 
276 1569 52886694 
277 8796 76246795 
277 3546 49200762 
278 6704 76862855 
278 3709 82457519 
279 5535 47631886 
279 6200 33636597 
279 6279 43541013 
280 9838 42147970 
280 2015 54319898 
281 5206 71253349 
281 6092 99032079 
282 9465 31623248 
283 4400 70326365 
284 7846 53908226 
284 7454 51004668 
285 8184 33020785 
285 5534 88239753 
286 3147 17001293 
286 2431 76990506 
286 9062 23077973 
286 6676 30735169 
287 5317 76070103 
287 1320 87424729 
287 1046 29141472 
287 1527 77108906 
288 8777 32114397 
288 6295 82325537 
288 3491 90869364 
288 1058 35245350 
288 3016 806515 
289 7302 86938545 
289 5487 83892243 
289 485 58110793 
289 9072 19347841 
290 9196 56850756 
290 9626 78001812 
291 504 36714856 
292 2330 54999713 
292 9719 76314127 
292 9717 97806030 
293 5234 5862279 
294 6115 1845834 
294 901 24467088 
294 3665 19925273 
294 9931 72716022 
295 839 99827205 
295 8303 35678982 
295 8147 85469181 
295 2248 16307960 
296 1048 89049099 
296 7574 34659009 
297 3317 41608428 
297 2813 37705359 
297 9581 38053290 
297 5311 64770394 
297 3636 39095147 
298 7827 94893401 
298 9610 66986885 
298 9818 17633794 
299 1394 28520950 
299 4528 42114055 
299 2510 91520909 
300 1730 27237508 
300 7280 9449733 
300 8761 47555731 
300 4479 79160787 
300 2083 90610975 
301 4898 51131156 
301 4162 10693361 
301 3439 35428703 
301 967 35393793 
302 3178 30729125 
303 648 41754804 
304 6021 87619757 
304 6543 29341374 
304 7101 25558978 
304 1596 94056480 
304 5702 24998631 
304 9836 65423070 
305 3602 44094765 
305 1980 50092349 
305 3727 56659477 
305 5004 28864329 
305 8033 87781105 
306 3442 30624682 
306 3269 54637317 
306 2713 20578855 
306 1393 29819560 
306 5115 98351535 
306 6834 74289011 
307 7189 7376439 
307 7611 14281937 
307 8816 89725232 
307 7882 76955599 
308 5645 73267826 
308 7893 47817482 
308 7106 88797860 
308 8456 16857221 
308 2889 37436093 
308 7124 58994591 
308 667 72409057 
308 8808 1963742 
308 396 45017390 
309 7787 9700890 
309 7569 17026565 
309 8402 80917387 
309 6186 76949493 
309 8999 21883346 
309 8533 13714182 
309 854 52997151 
310 5470 73011805 
310 684 58658838 
310 6918 90486630 
311 5977 21943149 
311 8857 17399942 
311 9651 12548344 
311 2061 98832928 
311 3455 95324664 
312 574 65184099 
312 7560 5016689 
312 7487 13404256 
312 9573 97291863 
312 7743 68086111 
313 8430 38835935 
313 6469 4643293 
314 3664 9514017 
314 4320 90221420 
314 3822 91094176 
314 9637 95600676 
315 7613 75788526 
315 1824 37941016 
316 5725 22509273 
316 3972 7065560 
316 1484 27209706 
316 6511 50085372 
316 6947 29360584 
316 398 77562734 
316 874 85386683 
317 1023 67204413 
318 4996 7920021 
318 4014 44221585 
319 7980 94742682 
319 1499 98113404 
319 5136 45129382 
320 880 82656962 
320 5223 42911610 
321 3899 47627987 
321 4496 71626598 
321 6777 92573663 
321 3699 5198463 
322 478 87660362 
322 1790 88188163 
322 8313 15385193 
322 5769 6192241 
322 4198 88107284 
323 5696 64786587 
323 8538 12596076 
323 6658 13183586 
323 9628 83127427 
323 9688 95663482 
324 6414 84199976 
324 5002 40645954 
324 7625 75184870 
325 2941 36272862 
326 5456 12697639 
326 9154 7015249 
326 5118 83044553 
327 3578 47071564 
327 2883 38648421 
327 6504 32985904 
327 2869 2169935 
327 2115 81774811 
327 2970 50831266 
327 8955 39589022 
328 3900 92940762 
328 660 55708772 
329 5601 98541253 
329 6005 16653412 
329 2884 48538064 
329 5576 43461197 
330 1796 64541968 
331 3825 84740167 
331 4285 31327787 
331 4465 41369638 
331 3161 16917657 
331 441 2360435 
331 2316 92552289 
332 3089 49410054 
332 5745 85858977 
332 7883 58298461 
332 6865 42333437 
333 8843 32529994 
333 3945 9408345 
334 2576 84688334 
334 9682 70678987 
334 4124 54741733 
334 7968 26793766 
334 5870 57003936 
334 2647 74148877 
334 8416 19728875 
335 7765 98005287 
335 6193 11803802 
335 1467 40678466 
335 3264 85663593 
336 5578 79446919 
336 5458 89764939 
336 2804 12612090 
337 8326 93690626 
337 1020 72772130 
337 5568 57762006 
337 1422 8736223 
337 1302 29476782 
338 2973 70084064 
338 6525 12730642 
339 1230 68546213 
339 8139 6439355 
339 2380 77701700 
340 5971 95246998 
340 2895 81787391 
340 8293 6007538 
341 3488 60112122 
341 3192 85175358 
341 6724 1965411 
341 8741 25936651 
341 4380 70214264 
342 782 36066624 
342 3142 36195649 
342 9727 94204599 
342 7638 11578448 
343 7300 86266620 
343 4355 60715424 
343 3553 58428595 
344 1753 29340212 
344 710 36367096 
345 3017 69924297 
345 4292 22374069 
345 483 95570283 
345 4847 93661838 
346 5861 78193680 
346 7557 69613461 
346 1870 62897450 
347 1796 35471569 
347 7374 47440159 
347 2511 83997306 
347 1667 22092139 
347 2781 89218983 
348 3006 89445830 
348 3733 83282207 
348 8368 93708088 
348 2275 17619276 
348 3459 63528811 
349 6922 44200363 
349 9275 88598003 
349 6745 98274978 
349 7953 80600568 
349 3249 78520180 
349 8067 45289490 
350 483 50060542 
350 6317 86484802 
350 2889 70917030 
350 5032 58942450 
351 8578 73241448 
351 9643 80158978 
351 7313 20661522 
351 5453 3318695 
352 1687 54666659 
352 3766 27593095 
352 8615 92516628 
352 468 20232669 
353 3057 56514454 
353 6824 99319459 
353 5796 45053294 
353 4989 54353331 
353 3108 72422764 
354 1184 29415467 
354 4598 4663938 
354 3954 67007007 
354 2458 54823642 
354 5422 89883526 
354 6919 59154696 
354 9415 66946593 
355 7944 45354891 
355 7013 90222857 
355 1506 69039476 
356 9398 75993996 
356 827 12908560 
356 9569 2654989 
356 3431 91282079 
356 7859 86024599 
357 5198 60468434 
357 2273 87266676 
357 1371 236501 
358 6134 78853234 
358 4051 44051797 
358 4301 77400924 
358 2733 98038046 
358 8716 54807908 
358 2721 48639188 
358 5140 51475107 
358 5966 84495301 
358 1491 95700755 
359 4452 49572108 
359 8077 32457704 
359 2637 55398381 
359 4269 41074791 
359 4360 40566796 
359 7953 47401938 
359 1152 18585138 
